Progressivo;Nominativo;Data Seduta;Gruppo Politico;Presenza;Num.Votazioni;Percentuale presenza alle votazioni
"32719";"BERNARDINI MANES";07/09/2012;"LEGA NORD";"P";1;49 
"33981";"COCCONCELLI MIRKA";07/09/2012;"LEGA NORD";"P";1;49 
"33982";"SCARANO PAOLA F.";07/09/2012;"LEGA NORD";"P";1;49 
"33983";"BORGONZONI LUCIA";07/09/2012;"LEGA NORD";"P";1;49 
"33984";"BUGANI MASSIMO";07/09/2012;"MOVIMENTO 5 STELLE";"A";0;0  
"32861";"SALSI FEDERICA";07/09/2012;"MOVIMENTO 5 STELLE";"P";0;0  
"33985";"PIAZZA MARCO";07/09/2012;"MOVIMENTO 5 STELLE";"P";1;49 
"33986";"ALDROVANDI STEFANO";07/09/2012;"BOLOGNA 2016";"A";0;0  
"32708";"TURCI DANIELA";07/09/2012;"PARTITO DEMOCRATICO";"P";1;49 
"16863";"MEROLA VIRGINIO";09/07/2012;"SINDACO";"P";0;0  
"9076";"MAZZANTI CLAUDIO";09/07/2012;"PARTITO DEMOCRATICO";"P";11;73 
"29442";"CRITELLI FRANCESCO";09/07/2012;"PARTITO DEMOCRATICO";"P";6;40 
"32746";"LEMBI SIMONA";09/07/2012;"PARTITO DEMOCRATICO";"P";12;80 
"27189";"BARCELO' LIZANA LEONARDO L.";09/07/2012;"PARTITO DEMOCRATICO";"P";12;80 
"15586";"MARCHESINI ANGELO";09/07/2012;"PARTITO DEMOCRATICO";"P";11;73 
"18313";"LO GIUDICE SERGIO";09/07/2012;"PARTITO DEMOCRATICO";"P";11;73 
"9181";"SANTI RAFFAELLA";09/07/2012;"PARTITO DEMOCRATICO";"P";10;66 
"32704";"LAMA ROSSELLA";09/07/2012;"PARTITO DEMOCRATICO";"P";8;53 
"27410";"FERRI MARIARAFFAELLA";09/07/2012;"PARTITO DEMOCRATICO";"P";11;73 
"27481";"ZACCHIROLI BENEDETTO";09/07/2012;"PARTITO DEMOCRATICO";"P";11;73 
"32794";"MIGNANI MARIANNA";09/07/2012;"PARTITO DEMOCRATICO";"P";6;40 
"22034";"GHETTI MAURIZIO";09/07/2012;"PARTITO DEMOCRATICO";"P";12;80 
"33977";"BENASSI MARZIA";09/07/2012;"PARTITO DEMOCRATICO";"P";12;80 
"33978";"ERRANI FRANCESCO";09/07/2012;"PARTITO DEMOCRATICO";"P";12;80 
"27197";"MELEGA CORRADO";09/07/2012;"PARTITO DEMOCRATICO";"P";11;73 
"9097";"PETRELLA TOMMASO";09/07/2012;"PARTITO DEMOCRATICO";"A";0;0  
"33979";"LA TORRE CATHY";09/07/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";7;46 
"33980";"PIERALISI MIRCO";09/07/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";9;60 
"26392";"CIPRIANI LORENZO";09/07/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";5;33 
"33987";"SAZZINI LORENZO";09/07/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";6;40 
"32714";"CAVIANO PASQUALE";09/07/2012;"ITALIA DEI VALORI";"P";8;53 
"21843";"LISEI MARCO";09/07/2012;"POPOLO DELLA LIBERTA'";"P";11;73 
"27208";"TOMASSINI LORENZO";09/07/2012;"POPOLO DELLA LIBERTA'";"P";12;80 
"32712";"FACCI MICHELE";09/07/2012;"POPOLO DELLA LIBERTA'";"P";6;40 
"27997";"CASTALDINI VALENT.";09/07/2012;"POPOLO DELLA LIBERTA'";"P";5;33 
"8904";"CARELLA DANIELE";09/07/2012;"POPOLO DELLA LIBERTA'";"P";12;80 
"20144";"GATTUSO PATRIZIO G.";09/07/2012;"POPOLO DELLA LIBERTA'";"P";11;73 
"32719";"BERNARDINI MANES";09/07/2012;"LEGA NORD";"P";5;33 
"33981";"COCCONCELLI MIRKA";09/07/2012;"LEGA NORD";"P";12;80 
"33982";"SCARANO PAOLA F.";09/07/2012;"LEGA NORD";"P";12;80 
"33983";"BORGONZONI LUCIA";09/07/2012;"LEGA NORD";"P";11;73 
"33984";"BUGANI MASSIMO";09/07/2012;"MOVIMENTO 5 STELLE";"P";12;80 
"32861";"SALSI FEDERICA";09/07/2012;"MOVIMENTO 5 STELLE";"P";11;73 
"33985";"PIAZZA MARCO";09/07/2012;"MOVIMENTO 5 STELLE";"P";12;80 
"33986";"ALDROVANDI STEFANO";09/07/2012;"BOLOGNA 2016";"P";5;33 
"32708";"TURCI DANIELA";09/07/2012;"PARTITO DEMOCRATICO";"P";5;33 
"16863";"MEROLA VIRGINIO";10/09/2012;"SINDACO";"A";0;0  
"9076";"MAZZANTI CLAUDIO";10/09/2012;"PARTITO DEMOCRATICO";"P";11;73 
"29442";"CRITELLI FRANCESCO";10/09/2012;"PARTITO DEMOCRATICO";"P";11;73 
"32746";"LEMBI SIMONA";10/09/2012;"PARTITO DEMOCRATICO";"P";12;80 
"27189";"BARCELO' LIZANA LEONARDO L.";10/09/2012;"PARTITO DEMOCRATICO";"P";12;80 
"15586";"MARCHESINI ANGELO";10/09/2012;"PARTITO DEMOCRATICO";"P";11;73 
"18313";"LO GIUDICE SERGIO";10/09/2012;"PARTITO DEMOCRATICO";"P";12;80 
"9181";"SANTI RAFFAELLA";10/09/2012;"PARTITO DEMOCRATICO";"P";7;46 
"32704";"LAMA ROSSELLA";10/09/2012;"PARTITO DEMOCRATICO";"P";9;60 
"27410";"FERRI MARIARAFFAELLA";10/09/2012;"PARTITO DEMOCRATICO";"P";12;80 
"27481";"ZACCHIROLI BENEDETTO";10/09/2012;"PARTITO DEMOCRATICO";"P";10;66 
"32794";"MIGNANI MARIANNA";10/09/2012;"PARTITO DEMOCRATICO";"P";12;80 
"22034";"GHETTI MAURIZIO";10/09/2012;"PARTITO DEMOCRATICO";"P";12;80 
"33977";"BENASSI MARZIA";10/09/2012;"PARTITO DEMOCRATICO";"P";12;80 
"33978";"ERRANI FRANCESCO";10/09/2012;"PARTITO DEMOCRATICO";"P";11;73 
"27197";"MELEGA CORRADO";10/09/2012;"PARTITO DEMOCRATICO";"P";12;80 
"9097";"PETRELLA TOMMASO";10/09/2012;"PARTITO DEMOCRATICO";"P";12;80 
"33979";"LA TORRE CATHY";10/09/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";12;80 
"33980";"PIERALISI MIRCO";10/09/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";10;66 
"26392";"CIPRIANI LORENZO";10/09/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";10;66 
"33987";"SAZZINI LORENZO";10/09/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";12;80 
"32714";"CAVIANO PASQUALE";10/09/2012;"ITALIA DEI VALORI";"P";11;73 
"21843";"LISEI MARCO";10/09/2012;"POPOLO DELLA LIBERTA'";"P";11;73 
"27208";"TOMASSINI LORENZO";10/09/2012;"POPOLO DELLA LIBERTA'";"P";12;80 
"32712";"FACCI MICHELE";10/09/2012;"POPOLO DELLA LIBERTA'";"P";11;73 
"27997";"CASTALDINI VALENT.";10/09/2012;"POPOLO DELLA LIBERTA'";"P";11;73 
"8904";"CARELLA DANIELE";10/09/2012;"POPOLO DELLA LIBERTA'";"P";12;80 
"20144";"GATTUSO PATRIZIO G.";10/09/2012;"POPOLO DELLA LIBERTA'";"P";8;53 
"32719";"BERNARDINI MANES";10/09/2012;"LEGA NORD";"P";8;53 
"33981";"COCCONCELLI MIRKA";10/09/2012;"LEGA NORD";"P";11;73 
"33982";"SCARANO PAOLA F.";10/09/2012;"LEGA NORD";"P";9;60 
"33983";"BORGONZONI LUCIA";10/09/2012;"LEGA NORD";"P";11;73 
"33984";"BUGANI MASSIMO";10/09/2012;"MOVIMENTO 5 STELLE";"P";11;73 
"32861";"SALSI FEDERICA";10/09/2012;"MOVIMENTO 5 STELLE";"P";12;80 
"33985";"PIAZZA MARCO";10/09/2012;"MOVIMENTO 5 STELLE";"P";12;80 
"33986";"ALDROVANDI STEFANO";10/09/2012;"BOLOGNA 2016";"P";11;73 
"32708";"TURCI DANIELA";10/09/2012;"PARTITO DEMOCRATICO";"P";7;46 
"16863";"MEROLA VIRGINIO";13/07/2012;"SINDACO";"A";0;0  
"9076";"MAZZANTI CLAUDIO";13/07/2012;"PARTITO DEMOCRATICO";"P";1;49 
"29442";"CRITELLI FRANCESCO";13/07/2012;"PARTITO DEMOCRATICO";"P";1;49 
"32746";"LEMBI SIMONA";13/07/2012;"PARTITO DEMOCRATICO";"P";1;49 
"27189";"BARCELO' LIZANA LEONARDO L.";13/07/2012;"PARTITO DEMOCRATICO";"P";0;0  
"15586";"MARCHESINI ANGELO";13/07/2012;"PARTITO DEMOCRATICO";"P";1;49 
"18313";"LO GIUDICE SERGIO";13/07/2012;"PARTITO DEMOCRATICO";"P";1;49 
"9181";"SANTI RAFFAELLA";13/07/2012;"PARTITO DEMOCRATICO";"P";0;0  
"32704";"LAMA ROSSELLA";13/07/2012;"PARTITO DEMOCRATICO";"P";1;49 
"27410";"FERRI MARIARAFFAELLA";13/07/2012;"PARTITO DEMOCRATICO";"A";0;0  
"27481";"ZACCHIROLI BENEDETTO";13/07/2012;"PARTITO DEMOCRATICO";"P";1;49 
"32794";"MIGNANI MARIANNA";13/07/2012;"PARTITO DEMOCRATICO";"P";1;49 
"22034";"GHETTI MAURIZIO";13/07/2012;"PARTITO DEMOCRATICO";"P";0;0  
"33977";"BENASSI MARZIA";13/07/2012;"PARTITO DEMOCRATICO";"P";1;49 
"33978";"ERRANI FRANCESCO";13/07/2012;"PARTITO DEMOCRATICO";"P";1;49 
"27197";"MELEGA CORRADO";13/07/2012;"PARTITO DEMOCRATICO";"A";0;0  
"9097";"PETRELLA TOMMASO";13/07/2012;"PARTITO DEMOCRATICO";"A";0;0  
"33979";"LA TORRE CATHY";13/07/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;0  
"33980";"PIERALISI MIRCO";13/07/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"A";0;0  
"26392";"CIPRIANI LORENZO";13/07/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;0  
"33987";"SAZZINI LORENZO";13/07/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"A";0;0  
"32714";"CAVIANO PASQUALE";13/07/2012;"ITALIA DEI VALORI";"P";1;49 
"21843";"LISEI MARCO";13/07/2012;"POPOLO DELLA LIBERTA'";"P";0;0  
"27208";"TOMASSINI LORENZO";13/07/2012;"POPOLO DELLA LIBERTA'";"P";1;49 
"32712";"FACCI MICHELE";13/07/2012;"POPOLO DELLA LIBERTA'";"P";1;49 
"27997";"CASTALDINI VALENT.";13/07/2012;"POPOLO DELLA LIBERTA'";"A";0;0  
"8904";"CARELLA DANIELE";13/07/2012;"POPOLO DELLA LIBERTA'";"P";1;49 
"20144";"GATTUSO PATRIZIO G.";13/07/2012;"POPOLO DELLA LIBERTA'";"P";1;49 
"32719";"BERNARDINI MANES";13/07/2012;"LEGA NORD";"P";1;49 
"33981";"COCCONCELLI MIRKA";13/07/2012;"LEGA NORD";"P";1;49 
"33982";"SCARANO PAOLA F.";13/07/2012;"LEGA NORD";"P";1;49 
"33983";"BORGONZONI LUCIA";13/07/2012;"LEGA NORD";"P";0;0  
"33984";"BUGANI MASSIMO";13/07/2012;"MOVIMENTO 5 STELLE";"P";0;0  
"32861";"SALSI FEDERICA";13/07/2012;"MOVIMENTO 5 STELLE";"P";1;49 
"33985";"PIAZZA MARCO";13/07/2012;"MOVIMENTO 5 STELLE";"P";1;49 
"33986";"ALDROVANDI STEFANO";13/07/2012;"BOLOGNA 2016";"A";0;0  
"32708";"TURCI DANIELA";13/07/2012;"PARTITO DEMOCRATICO";"A";0;0  
"16863";"MEROLA VIRGINIO";14/09/2012;"SINDACO";"A";0;0  
"9076";"MAZZANTI CLAUDIO";14/09/2012;"PARTITO DEMOCRATICO";"P";0;0  
"29442";"CRITELLI FRANCESCO";14/09/2012;"PARTITO DEMOCRATICO";"P";1;49 
"32746";"LEMBI SIMONA";14/09/2012;"PARTITO DEMOCRATICO";"P";1;49 
"27189";"BARCELO' LIZANA LEONARDO L.";14/09/2012;"PARTITO DEMOCRATICO";"P";1;49 
"15586";"MARCHESINI ANGELO";14/09/2012;"PARTITO DEMOCRATICO";"P";1;49 
"18313";"LO GIUDICE SERGIO";14/09/2012;"PARTITO DEMOCRATICO";"P";0;0  
"9181";"SANTI RAFFAELLA";14/09/2012;"PARTITO DEMOCRATICO";"P";0;0  
"32704";"LAMA ROSSELLA";14/09/2012;"PARTITO DEMOCRATICO";"P";0;0  
"27410";"FERRI MARIARAFFAELLA";14/09/2012;"PARTITO DEMOCRATICO";"A";0;0  
"27481";"ZACCHIROLI BENEDETTO";14/09/2012;"PARTITO DEMOCRATICO";"P";1;49 
"32794";"MIGNANI MARIANNA";14/09/2012;"PARTITO DEMOCRATICO";"P";0;0  
"22034";"GHETTI MAURIZIO";14/09/2012;"PARTITO DEMOCRATICO";"P";0;0  
"33977";"BENASSI MARZIA";14/09/2012;"PARTITO DEMOCRATICO";"P";1;49 
"33978";"ERRANI FRANCESCO";14/09/2012;"PARTITO DEMOCRATICO";"P";1;49 
"27197";"MELEGA CORRADO";14/09/2012;"PARTITO DEMOCRATICO";"P";0;0  
"9097";"PETRELLA TOMMASO";14/09/2012;"PARTITO DEMOCRATICO";"P";1;49 
"33979";"LA TORRE CATHY";14/09/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"A";0;0  
"33980";"PIERALISI MIRCO";14/09/2012;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";1;49 
