Progressivo;Nominativo;Data Seduta;Gruppo Politico;Presenza;Num.Votazioni;Percentuale presenza alle votazioni
"9116";"CEVENINI MAURIZIO";05/12/2011;"PARTITO DEMOCRATICO";"P";9;81 
"9076";"MAZZANTI CLAUDIO";05/12/2011;"PARTITO DEMOCRATICO";"P";8;72 
"29442";"CRITELLI FRANCESCO";05/12/2011;"PARTITO DEMOCRATICO";"P";9;81 
"32746";"LEMBI SIMONA";05/12/2011;"PARTITO DEMOCRATICO";"P";9;81 
"27189";"BARCELO' LIZANA LEONARDO L.";05/12/2011;"PARTITO DEMOCRATICO";"P";9;81 
"15586";"MARCHESINI ANGELO";05/12/2011;"PARTITO DEMOCRATICO";"P";8;72 
"18313";"LO GIUDICE SERGIO";05/12/2011;"PARTITO DEMOCRATICO";"P";9;81 
"9181";"SANTI RAFFAELLA";05/12/2011;"PARTITO DEMOCRATICO";"P";9;81 
"32704";"LAMA ROSSELLA";05/12/2011;"PARTITO DEMOCRATICO";"P";9;81 
"27410";"FERRI MARIARAFFAELLA";05/12/2011;"PARTITO DEMOCRATICO";"P";9;81 
"27481";"ZACCHIROLI BENEDETTO";05/12/2011;"PARTITO DEMOCRATICO";"P";9;81 
"32794";"MIGNANI MARIANNA";05/12/2011;"PARTITO DEMOCRATICO";"P";9;81 
"22034";"GHETTI MAURIZIO";05/12/2011;"PARTITO DEMOCRATICO";"P";8;72 
"33977";"BENASSI MARZIA";05/12/2011;"PARTITO DEMOCRATICO";"P";9;81 
"33978";"ERRANI FRANCESCO";05/12/2011;"PARTITO DEMOCRATICO";"P";8;72 
"27197";"MELEGA CORRADO";05/12/2011;"PARTITO DEMOCRATICO";"P";9;81 
"9097";"PETRELLA TOMMASO";05/12/2011;"PARTITO DEMOCRATICO";"A";0;0  
"33979";"LA TORRE CATHY";05/12/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";8;72 
"33980";"PIERALISI MIRCO";05/12/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";7;63 
"26392";"CIPRIANI LORENZO";05/12/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";8;72 
"33987";"SAZZINI LORENZO";05/12/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";1;9  
"32714";"CAVIANO PASQUALE";05/12/2011;"ITALIA DEI VALORI";"P";8;72 
"21843";"LISEI MARCO";05/12/2011;"POPOLO DELLA LIBERTA'";"P";8;72 
"27208";"TOMASSINI LORENZO";05/12/2011;"POPOLO DELLA LIBERTA'";"P";3;27 
"32712";"FACCI MICHELE";05/12/2011;"POPOLO DELLA LIBERTA'";"P";9;81 
"27997";"CASTALDINI VALENT.";05/12/2011;"POPOLO DELLA LIBERTA'";"P";8;72 
"8904";"CARELLA DANIELE";05/12/2011;"POPOLO DELLA LIBERTA'";"P";9;81 
"20144";"GATTUSO PATRIZIO G.";05/12/2011;"POPOLO DELLA LIBERTA'";"P";7;63 
"32719";"BERNARDINI MANES";05/12/2011;"LEGA NORD";"P";9;81 
"33981";"COCCONCELLI MIRKA";05/12/2011;"LEGA NORD";"P";8;72 
"33982";"SCARANO PAOLA F.";05/12/2011;"LEGA NORD";"P";9;81 
"33983";"BORGONZONI LUCIA";05/12/2011;"LEGA NORD";"P";7;63 
"33984";"BUGANI MASSIMO";05/12/2011;"MOVIMENTO 5 STELLE";"P";9;81 
"32861";"SALSI FEDERICA";05/12/2011;"MOVIMENTO 5 STELLE";"P";4;36 
"33985";"PIAZZA MARCO";05/12/2011;"MOVIMENTO 5 STELLE";"P";9;81 
"33986";"ALDROVANDI STEFANO";05/12/2011;"BOLOGNA 2016";"P";8;72 
"16863";"MEROLA VIRGINIO";07/06/2011;"SINDACO";"P";7;70 
"9116";"CEVENINI MAURIZIO";07/06/2011;"PARTITO DEMOCRATICO";"P";8;80 
"9076";"MAZZANTI CLAUDIO";07/06/2011;"PARTITO DEMOCRATICO";"P";8;80 
"29442";"CRITELLI FRANCESCO";07/06/2011;"PARTITO DEMOCRATICO";"P";8;80 
"32746";"LEMBI SIMONA";07/06/2011;"PARTITO DEMOCRATICO";"P";8;80 
"27189";"BARCELO' LIZANA LEONARDO L.";07/06/2011;"PARTITO DEMOCRATICO";"P";8;80 
"15586";"MARCHESINI ANGELO";07/06/2011;"PARTITO DEMOCRATICO";"P";8;80 
"18313";"LO GIUDICE SERGIO";07/06/2011;"PARTITO DEMOCRATICO";"P";8;80 
"9181";"SANTI RAFFAELLA";07/06/2011;"PARTITO DEMOCRATICO";"P";7;70 
