Progressivo;Nominativo;Data Seduta;Gruppo Politico;Presenza;Num.Votazioni;Percentuale presenza alle votazioni
32714;CAVIANO PASQUALE;09/11/2012;ITALIA DEI VALORI;P;1;49
21843;LISEI MARCO;09/11/2012;'POPOLO DELLA LIBERTA''';P;0;0
27208;TOMASSINI LORENZO;09/11/2012;'POPOLO DELLA LIBERTA''';A;0;0
32712;FACCI MICHELE;09/11/2012;'POPOLO DELLA LIBERTA''';A;0;0
27997;CASTALDINI VALENT.;09/11/2012;'POPOLO DELLA LIBERTA''';A;0;0
8904;CARELLA DANIELE;09/11/2012;'POPOLO DELLA LIBERTA''';P;1;49
20144;GATTUSO PATRIZIO G.;09/11/2012;'POPOLO DELLA LIBERTA''';P;1;49
32719;BERNARDINI MANES;09/11/2012;LEGA NORD;P;1;49
33981;COCCONCELLI MIRKA;09/11/2012;LEGA NORD;P;1;49
33982;SCARANO PAOLA F.;09/11/2012;LEGA NORD;P;1;49
33983;BORGONZONI LUCIA;09/11/2012;LEGA NORD;P;1;49
33984;BUGANI MASSIMO;09/11/2012;MOVIMENTO 5 STELLE;P;1;49
32861;SALSI FEDERICA;09/11/2012;MOVIMENTO 5 STELLE;A;0;0
33985;PIAZZA MARCO;09/11/2012;MOVIMENTO 5 STELLE;P;1;49
33986;ALDROVANDI STEFANO;09/11/2012;BOLOGNA 2016;P;1;49
32708;TURCI DANIELA;09/11/2012;PARTITO DEMOCRATICO;P;0;0
16863;MEROLA VIRGINIO;10/12/2012;SINDACO;P;0;0
9116;CEVENINI MAURIZIO;10/12/2012;PARTITO DEMOCRATICO;A;0;0
9076;MAZZANTI CLAUDIO;10/12/2012;PARTITO DEMOCRATICO;P;0;0
29442;CRITELLI FRANCESCO;10/12/2012;PARTITO DEMOCRATICO;P;1;32
32746;LEMBI SIMONA;10/12/2012;PARTITO DEMOCRATICO;P;2;64
27189;'BARCELO'' LIZANA LEONARDO L.';10/12/2012;PARTITO DEMOCRATICO;P;1;32
15586;MARCHESINI ANGELO;10/12/2012;PARTITO DEMOCRATICO;P;0;0
