Progressivo,Data,Presenza,Votazioni,Percentuale
33978,2013-04-05,P,0,0
27197,2013-04-05,P,1,49
9097,2013-04-05,P,1,49
33979,2013-04-05,P,0,0
33980,2013-04-05,P,0,0
26392,2013-04-05,P,0,0
33987,2013-04-05,P,1,49
32714,2013-04-05,P,1,49
21843,2013-04-05,P,1,49
27208,2013-04-05,P,1,49
32712,2013-04-05,P,0,0
27997,2013-04-05,A,0,0
8904,2013-04-05,P,1,49
20144,2013-04-05,P,1,49
32719,2013-04-05,P,1,49
33981,2013-04-05,P,1,49
33982,2013-04-05,P,1,49
33983,2013-04-05,P,1,49
33984,2013-04-05,A,0,0
32861,2013-04-05,P,0,0
33985,2013-04-05,A,0,0
33986,2013-04-05,A,0,0
32708,2013-04-05,P,0,0
0,2013-04-05,A,0,0
16863,2013-05-06,P,2,16
9076,2013-05-06,P,6,48
29442,2013-05-06,P,10,80
32746,2013-05-06,P,10,80
27189,2013-05-06,A,0,0
15586,2013-05-06,P,5,40
9181,2013-05-06,P,6,48
32704,2013-05-06,P,10,80
27410,2013-05-06,P,10,80
27481,2013-05-06,P,7,56
32794,2013-05-06,P,10,80
22034,2013-05-06,P,10,80
33977,2013-05-06,P,5,40
33978,2013-05-06,P,9,72
27197,2013-05-06,P,10,80
9097,2013-05-06,P,10,80
33979,2013-05-06,A,0,0
